Name,Start date,1st Rep,2nd Rep,3rd Rep,4th Rep,Next Rep
6. Adv User Management,"October 31, 2024",Yes,Yes,No,No,"November 7, 2024"
3. File Management,"November 1, 2024",Yes,Yes,No,No,"November 8, 2024"
4. Adv File Management,"November 1, 2024",Yes,Yes,No,No,"November 8, 2024"
5. User Management,"November 4, 2024",Yes,Yes,No,No,"November 11, 2024"
7. Bash Shell,"October 30, 2024",Yes,Yes,Yes,No,"November 13, 2024"
8. Process & Task Scheduling,"November 2, 2024",Yes,Yes,No,No,"November 9, 2024"
9. Basic Package Management,"November 24, 2024",No,No,No,No,"November 25, 2024"
10. Adv Package Management,,No,No,No,No,
"11. Boot Process, GRUB, & the Linux Kernel",,No,No,No,No,
"12. System Initialization, Msg Logging, & System Tuning",,No,No,No,No,
13. Storage Management,,No,No,No,No,
14. Local File System & Swap,,No,No,No,No,
"15. Networking, Network Devices, & Network Connections ",,No,No,No,No,
16. Network File System,,No,No,No,No,
17. Hostname Resolution & Time Synchronization,,No,No,No,No,
18. The Secure Shell Service,,No,No,No,No,
19. The Linux Firewall,,No,No,No,No,
"20. Security Enhanced Linux ",,No,No,No,No,
21. Shell Scripting,,No,No,No,No,
22. Containers,,No,No,No,No,
,,No,No,No,No,
,,No,No,No,No,
